name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,month,revenue
The Passion of the Christ,R,Drama,2004,7.2,221000,Mel Gibson,Benedict Fitzgerald,Jim Caviezel,United States,30000000,612054506,Icon Productions,February,582054506
Resident Evil: Apocalypse,R,Action,2004,6.2,190000,Alexander Witt,Paul W.S. Anderson,Milla Jovovich,Germany,45000000,129342769,Screen Gems,September,84342769
Hellboy,PG-13,Action,2004,6.8,312000,Guillermo del Toro,Guillermo del Toro,Ron Perlman,United States,66000000,99378985,Revolution Studios,April,33378985
Anchorman: The Legend of Ron Burgundy,PG-13,Comedy,2004,7.2,337000,Adam McKay,Will Ferrell,Will Ferrell,United States,26000000,90709367,Dreamworks Pictures,July,64709367
Walking Tall,PG-13,Action,2004,6.3,72000,Kevin Bray,Mort Briskin,Dwayne Johnson,United States,46000000,57223890,Metro-Goldwyn-Mayer (MGM),April,11223890
The Life Aquatic with Steve Zissou,R,Action,2004,7.3,185000,Wes Anderson,Wes Anderson,Bill Murray,United States,50000000,34809623,Touchstone Pictures,December,-15190377
A Series of Unfortunate Events,PG,Adventure,2004,6.8,199000,Brad Silberling,Robert Gordon,Jim Carrey,Germany,140000000,211468235,Paramount Pictures,December,71468235
The Machinist,R,Drama,2004,7.7,366000,Brad Anderson,Scott Kosar,Christian Bale,Spain,5000000,8203235,Filmax Group,December,3203235
The Phantom of the Opera,PG-13,Drama,2004,7.2,118000,Joel Schumacher,Gaston Leroux,Gerard Butler,United Kingdom,70000000,154649125,Warner Bros.,December,84649125
Closer,R,Drama,2004,7.2,207000,Mike Nichols,Patrick Marber,Natalie Portman,United States,27000000,115505027,Columbia Pictures,December,88505027
National Treasure,PG,Action,2004,6.9,311000,Jon Turteltaub,Jim Kouf,Nicolas Cage,United States,100000000,347512318,Walt Disney Pictures,November,247512318
Alexander,R,Action,2004,5.6,165000,Oliver Stone,Oliver Stone,Colin Farrell,United States,155000000,167298192,Warner Bros.,November,12298192
The Chronicles of Riddick,R,Action,2004,6.7,218000,David Twohy,Jim Wheat,Vin Diesel,United States,105000000,115900534,Universal Pictures,June,10900534
9 Songs,Not Rated,Drama,2004,4.8,22000,Michael Winterbottom,Michael Winterbottom,Kieran O'Brien,United Kingdom,NA,1590308,Revolution Films,March,NA
The Manchurian Candidate,R,Drama,2004,6.6,107000,Jonathan Demme,Richard Condon,Denzel Washington,United States,80000000,96105910,Paramount Pictures,July,16105910
King Arthur,PG-13,Action,2004,6.3,162000,Antoine Fuqua,David Franzoni,Clive Owen,United States,120000000,203567857,Touchstone Pictures,July,83567857
Ocean's Twelve,PG-13,Crime,2004,6.5,367000,Steven Soderbergh,George Nolfi,George Clooney,United States,110000000,362744280,Warner Bros.,December,252744280
Harold & Kumar Go to White Castle,R,Adventure,2004,7,185000,Danny Leiner,Jon Hurwitz,John Cho,United States,9000000,23936908,Endgame Entertainment,July,14936908
Blade: Trinity,R,Action,2004,5.8,169000,David S. Goyer,David S. Goyer,Wesley Snipes,United States,65000000,131977904,New Line Cinema,December,66977904
Alien vs. Predator,PG-13,Action,2004,5.6,188000,Paul W.S. Anderson,Dan O'Bannon,Sanaa Lathan,United States,60000000,177427090,Twentieth Century Fox,August,117427090
Meet the Fockers,PG-13,Comedy,2004,6.3,257000,Jay Roach,Greg Glienna,Ben Stiller,United States,80000000,522657936,Universal Pictures,December,442657936
Sideways,R,Comedy,2004,7.5,183000,Alexander Payne,Rex Pickett,Paul Giamatti,United States,16000000,109706931,Fox Searchlight Pictures,October,93706931
Friday Night Lights,PG-13,Action,2004,7.2,60000,Peter Berg,Buzz Bissinger,Billy Bob Thornton,Germany,30000000,61950770,Universal Pictures,October,31950770
Starsky & Hutch,PG-13,Comedy,2004,6.1,141000,Todd Phillips,William Blinn,Ben Stiller,United States,60000000,170268750,Dimension Films,March,110268750
Shark Tale,PG,Animation,2004,6,171000,Bibo Bergeron,Michael J. Wilson,Will Smith,United States,75000000,374583879,DreamWorks Animation,October,299583879
Before Sunset,R,Drama,2004,8.1,244000,Richard Linklater,Richard Linklater,Ethan Hawke,United States,2700000,15936507,Warner Independent Pictures (WIP),July,13236507
Ella Enchanted,PG,Comedy,2004,6.3,64000,Tommy O'Haver,Laurie Craig,Anne Hathaway,United States,31000000,27388767,Miramax,April,-3611233
Primer,PG-13,Drama,2004,6.9,101000,Shane Carruth,Shane Carruth,Shane Carruth,United States,7000,545436,ERBP,May,538436
A Cinderella Story,PG,Comedy,2004,5.9,83000,Mark Rosman,Leigh Dunlap,Hilary Duff,United States,19000000,70067909,Warner Bros.,July,51067909
Along Came Polly,PG-13,Comedy,2004,6,129000,John Hamburg,John Hamburg,Ben Stiller,United States,42000000,178311729,Universal Pictures,January,136311729
Somersault,Not Rated,Drama,2004,6.7,7600,Cate Shortland,Cate Shortland,Abbie Cornish,Australia,NA,1482316,Red Carpet Productions,September,NA
The SpongeBob SquarePants Movie,PG,Animation,2004,7.1,82000,Stephen Hillenburg,Derek Drymon,Tom Kenny,United States,30000000,141067127,Paramount Pictures,November,111067127
Scooby-Doo 2: Monsters Unleashed,PG,Adventure,2004,5.1,52000,Raja Gosnell,William Hanna,Freddie Prinze Jr.,United States,80000000,181216833,Warner Bros.,March,101216833
The Ladykillers,R,Comedy,2004,6.2,101000,Ethan Coen,Joel Coen,Tom Hanks,United States,35000000,76665191,Touchstone Pictures,March,41665191
Hotel Rwanda,PG-13,Biography,2004,8.1,340000,Terry George,Keir Pearson,Don Cheadle,United Kingdom,17500000,33882243,United Artists,February,16382243
Taking Lives,R,Crime,2004,6.2,84000,D.J. Caruso,Michael Pye,Angelina Jolie,United States,45000000,65470529,Warner Bros.,March,20470529
Kung Fu Hustle,R,Action,2004,7.7,130000,Stephen Chow,Stephen Chow,Stephen Chow,Hong Kong,20000000,104882445,Columbia Pictures Film Production Asia,April,84882445
The Perfect Score,PG-13,Comedy,2004,5.7,24000,Brian Robbins,Marc Hyman,Scarlett Johansson,United States,40000000,10898337,Paramount Pictures,January,-29101663
Garden State,R,Comedy,2004,7.4,209000,Zach Braff,Zach Braff,Zach Braff,United States,2500000,35825316,Camelot Pictures,August,33325316
The Princess Diaries 2: Royal Engagement,G,Comedy,2004,5.8,76000,Garry Marshall,Meg Cabot,Anne Hathaway,United States,40000000,134734481,Walt Disney Pictures,August,94734481
Twisted,R,Crime,2004,5.3,21000,Philip Kaufman,Sarah Thorp,Ashley Judd,Germany,50000000,40954603,Paramount Pictures,February,-9045397
Catwoman,PG-13,Action,2004,3.4,113000,Pitof,Bob Kane,Halle Berry,United States,100000000,82102379,Warner Bros.,July,-17897621
Seed of Chucky,R,Comedy,2004,4.8,40000,Don Mancini,Don Mancini,Jennifer Tilly,United States,12000000,24829644,Rogue Pictures,November,12829644
2046,R,Drama,2004,7.4,53000,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,Hong Kong,12000000,20205757,Jet Tone Production,September,8205757
Torque,PG-13,Action,2004,4.1,27000,Joseph Kahn,Matt Johnson,Martin Henderson,United States,40000000,46546197,Warner Bros.,January,6546197
Ray,PG-13,Biography,2004,7.7,141000,Taylor Hackford,Taylor Hackford,Jamie Foxx,United States,40000000,123971376,Universal Pictures,October,83971376
Chasing Liberty,PG-13,Comedy,2004,6.1,37000,Andy Cadiff,Derek Guiley,Mandy Moore,United States,23000000,12313323,Alcon Entertainment,January,-10686677
Secret Window,PG-13,Drama,2004,6.5,186000,David Koepp,Stephen King,Johnny Depp,United States,40000000,92913171,Grand Slam Productions,March,52913171
Bride & Prejudice,PG-13,Comedy,2004,6.2,20000,Gurinder Chadha,Jane Austen,Martin Henderson,United Kingdom,7000000,24716440,Pathé Pictures International,March,17716440
Finding Neverland,PG,Biography,2004,7.7,201000,Marc Forster,Allan Knee,Johnny Depp,United States,25000000,116650613,Miramax,December,91650613
Team America: World Police,R,Action,2004,7.2,162000,Trey Parker,Trey Parker,Trey Parker,United States,32000000,50826898,Paramount Pictures,October,18826898
Sleepover,PG,Comedy,2004,5.4,16000,Joe Nussbaum,Elisa Bell,Alexa PenaVega,United States,10000000,10143022,Metro-Goldwyn-Mayer (MGM),July,143022
The Grudge,PG-13,Horror,2004,5.9,140000,Takashi Shimizu,Stephen Susco,Sarah Michelle Gellar,United States,10000000,187281115,Columbia Pictures,October,177281115
Around the World in 80 Days,PG,Action,2004,5.9,87000,Frank Coraci,Jules Verne,Jackie Chan,United States,110000000,72178895,Walt Disney Pictures,June,-37821105
Wimbledon,PG-13,Comedy,2004,6.3,61000,Richard Loncraine,Adam Brooks,Kirsten Dunst,United Kingdom,31000000,41682237,Universal Pictures,September,10682237
The Adventures of Sharkboy and Lavagirl 3-D,PG,Action,2004,3.7,35000,Robert Rodriguez,Robert Rodriguez,Cayden Boyd,United States,50000000,71992655,Dimension Films,June,21992655
The Polar Express,G,Animation,2004,6.6,185000,Robert Zemeckis,Chris Van Allsburg,Tom Hanks,United States,165000000,314215454,Castle Rock Entertainment,November,149215454
Without a Paddle,PG-13,Adventure,2004,5.9,45000,Steven Brill,Fred Wolf,Matthew Lillard,United States,19000000,73029190,Paramount Pictures,August,54029190
Miracle,PG,Biography,2004,7.5,50000,Gavin O'Connor,Eric Guggenheim,Kurt Russell,Canada,28000000,64445708,Pop Pop Productions,February,36445708
Mindhunters,R,Crime,2004,6.4,59000,Renny Harlin,Wayne Kramer,Val Kilmer,Netherlands,27000000,21148829,Dimension Films,May,-5851171
Mysterious Skin,Unrated,Drama,2004,7.6,67000,Gregg Araki,Gregg Araki,Brady Corbet,United States,NA,1532932,Antidote Films (I),June,NA
The Prince and Me,PG,Comedy,2004,5.9,38000,Martha Coolidge,Mark Amin,Julia Stiles,United States,22000000,37666766,Lions Gate Films,April,15666766
Taxi,PG-13,Action,2004,4.5,41000,Tim Story,Luc Besson,Queen Latifah,United States,25000000,71255003,Twentieth Century Fox,October,46255003
Wicker Park,PG-13,Drama,2004,7,53000,Paul McGuigan,Gilles Mimouni,Josh Hartnett,United States,30000000,21741598,Metro-Goldwyn-Mayer (MGM),September,-8258402
Cellular,PG-13,Action,2004,6.5,95000,David R. Ellis,Larry Cohen,Kim Basinger,United States,25000000,57678321,New Line Cinema,September,32678321
Kinsey,R,Biography,2004,7.1,48000,Bill Condon,Bill Condon,Liam Neeson,United States,11000000,17050017,Fox Searchlight Pictures,January,6050017
Anacondas: The Hunt for the Blood Orchid,PG-13,Action,2004,4.7,30000,Dwight H. Little,Hans Bauer,Morris Chestnut,United States,20000000,70992898,Screen Gems,August,50992898
The Heart Is Deceitful Above All Things,R,Drama,2004,6.4,6500,Asia Argento,Laura Albert,Asia Argento,United States,NA,217499,Above All Things Inc.,January,NA
Confessions of a Teenage Drama Queen,PG,Comedy,2004,4.7,28000,Sara Sugarman,Dyan Sheldon,Lindsay Lohan,Germany,15000000,33251890,Walt Disney Pictures,February,18251890
Raising Helen,PG-13,Comedy,2004,6,36000,Garry Marshall,Patrick J. Clifton,Kate Hudson,United States,50000000,49718611,Touchstone Pictures,May,-281389
Fat Albert,PG,Comedy,2004,4.3,12000,Joel Zwick,Bill Cosby,Kenan Thompson,United States,26000000,48551322,Twentieth Century Fox,December,22551322
Sky Captain and the World of Tomorrow,PG,Action,2004,6,83000,Kerry Conran,Kerry Conran,Gwyneth Paltrow,United States,70000000,57947036,Paramount Pictures,September,-12052964
The Final Cut,PG-13,Drama,2004,6.2,32000,Omar Naim,Omar Naim,Robin Williams,United States,NA,3222439,Lions Gate Entertainment,October,NA
The Stepford Wives,PG-13,Comedy,2004,5.3,62000,Frank Oz,Ira Levin,Nicole Kidman,United States,90000000,103370127,Paramount Pictures,June,13370127
Shall We Dance,PG-13,Comedy,2004,6.1,45000,Peter Chelsom,Masayuki Suô,Richard Gere,United States,50000000,170128460,Miramax,October,120128460
House of Flying Daggers,PG-13,Action,2004,7.5,109000,Yimou Zhang,Feng Li,Ziyi Zhang,China,NA,92863945,Beijing New Picture Film,January,NA
District B13,R,Action,2004,7.1,68000,Pierre Morel,Luc Besson,Cyril Raffaelli,France,NA,11169386,EuropaCorp,June,NA
Dead Man's Shoes,Not Rated,Crime,2004,7.6,51000,Shane Meadows,Paddy Considine,Paddy Considine,United Kingdom,NA,203450,Warp Films,October,NA
After the Sunset,PG-13,Action,2004,6.3,45000,Brett Ratner,Paul Zbyszewski,Pierce Brosnan,United States,60000000,62657868,New Line Cinema,November,2657868
A Very Long Engagement,R,Drama,2004,7.6,72000,Jean-Pierre Jeunet,Sébastien Japrisot,Audrey Tautou,France,56600000,69424389,2003 Productions,January,12824389
The Forgotten,PG-13,Drama,2004,5.8,65000,Joseph Ruben,Gerald Di Pego,Julianne Moore,United States,42000000,117592831,Revolution Studios,September,75592831
Flight of the Phoenix,PG-13,Action,2004,6.1,52000,John Moore,Lukas Heller,Dennis Quaid,United States,45000000,35021497,Twentieth Century Fox,December,-9978503
Saved!,PG-13,Comedy,2004,6.7,45000,Brian Dannelly,Brian Dannelly,Jena Malone,United States,5000000,10275509,United Artists,June,5275509
Garfield,PG,Animation,2004,5,81000,Peter Hewitt,Jim Davis,Breckin Meyer,United States,50000000,203172417,Twentieth Century Fox,June,153172417
In Good Company,PG-13,Comedy,2004,6.4,54000,Paul Weitz,Paul Weitz,Dennis Quaid,United States,26000000,61315215,Universal Pictures,January,35315215
First Daughter,PG,Comedy,2004,5.1,21000,Forest Whitaker,Jessica Bendinger,Katie Holmes,United States,30000000,10592180,New Regency Productions,September,-19407820
Jersey Girl,PG-13,Comedy,2004,6.2,64000,Kevin Smith,Kevin Smith,Ben Affleck,United States,35000000,35492921,Miramax,March,492921
The Alamo,PG-13,Drama,2004,6,20000,John Lee Hancock,Leslie Bohem,Dennis Quaid,United States,107000000,25819961,Touchstone Pictures,April,-81180039
A Love Song for Bobby Long,R,Drama,2004,7.1,25000,Shainee Gabel,Ronald Everett Capps,Scarlett Johansson,United States,NA,2039526,Lions Gate Films,January,NA
Raise Your Voice,PG,Family,2004,5.9,27000,Sean McNamara,Mitch Rotter,Hilary Duff,United States,15000000,14867514,New Line Cinema,October,-132486
Hidalgo,PG-13,Action,2004,6.7,79000,Joe Johnston,John Fusco,Viggo Mortensen,United States,100000000,108040622,Touchstone Pictures,March,8040622
Bridget Jones: The Edge of Reason,R,Comedy,2004,6,109000,Beeban Kidron,Helen Fielding,Renée Zellweger,United Kingdom,40000000,265126918,Universal Pictures,November,225126918
Mean Creek,R,Crime,2004,7.2,31000,Jacob Estes,Jacob Estes,Rory Culkin,United States,500000,802948,Whitewater Films,September,302948
Dirty Dancing: Havana Nights,PG-13,Drama,2004,6,27000,Guy Ferland,Kate Gunzinger,Diego Luna,United States,25000000,27685016,Lions Gate Films,February,2685016
D.E.B.S.,PG-13,Action,2004,5.3,15000,Angela Robinson,Angela Robinson,Sara Foster,United States,3500000,97446,Screen Gems,March,-3402554
The Motorcycle Diaries,R,Adventure,2004,7.8,98000,Walter Salles,Ernesto 'Che' Guevara,Gael García Bernal,Argentina,NA,57663711,FilmFour,October,NA
Club Dread,R,Comedy,2004,5.7,29000,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar,United States,8600000,7565807,Broken Lizard Industries,February,-1034193
Eros,R,Drama,2004,6,6400,Michelangelo Antonioni,Kar-Wai Wong,Robert Downey Jr.,United Kingdom,NA,1553020,Block 2 Pictures,December,NA
Bad Education,NC-17,Crime,2004,7.4,57000,Pedro Almodóvar,Pedro Almodóvar,Gael García Bernal,Spain,5000000,40423279,Canal+ España,February,35423279
Soul Plane,R,Comedy,2004,4.5,22000,Jessy Terrero,Bo Zenga,Dwayne Adway,United States,16000000,14821824,Metro-Goldwyn-Mayer (MGM),May,-1178176
3-Iron,R,Crime,2004,8,52000,Kim Ki-duk,Kim Ki-duk,Seung-Yun Lee,South Korea,1000000,3403957,Kim Ki-Duk Film,October,2403957
Thunderbirds,PG,Action,2004,4.3,13000,Jonathan Frakes,Gerry Anderson,Bill Paxton,United Kingdom,57000000,28283637,Working Title Films,July,-28716363
New York Minute,PG,Comedy,2004,5,22000,Dennie Gordon,Emily Fox,Mary-Kate Olsen,United States,30000000,21289826,Warner Bros.,May,-8710174
Birth,R,Drama,2004,6.2,35000,Jonathan Glazer,Jean-Claude Carrière,Nicole Kidman,United Kingdom,20000000,23925492,New Line Cinema,October,3925492
Vanity Fair,PG-13,Drama,2004,6.2,21000,Mira Nair,Matthew Faulk,Reese Witherspoon,United States,23000000,19463185,Focus Features,September,-3536815
Exorcist: the Beginning,R,Horror,2004,5.1,34000,Renny Harlin,William Peter Blatty,Stellan Skarsgård,United States,80000000,78110021,Morgan Creek Entertainment,August,-1889979
A Dirty Shame,NC-17,Comedy,2004,5.1,12000,John Waters,John Waters,Tracey Ullman,United States,15000000,1914166,Fine Line Features,September,-13085834
Swades,Not Rated,Drama,2004,8.2,86000,Ashutosh Gowariker,M.G. Sathya,Shah Rukh Khan,India,NA,1953889,Ashutosh Gowariker Productions,December,NA
I Heart Huckabees,R,Comedy,2004,6.6,63000,David O. Russell,David O. Russell,Jason Schwartzman,United Kingdom,20000000,20094909,Fox Searchlight Pictures,October,94909
The Sea Inside,PG-13,Biography,2004,8,79000,Alejandro Amenábar,Alejandro Amenábar,Javier Bardem,Spain,NA,43731621,Sogepaq,March,NA
The Door in the Floor,R,Comedy,2004,6.7,15000,Tod Williams,John Irving,Jeff Bridges,United States,7500000,6715067,Focus Features,August,-784933
The Whole Ten Yards,PG-13,Comedy,2004,5.5,55000,Howard Deutch,Mitchell Kapner,Bruce Willis,United States,40000000,26170671,Nine Yards Two Productions,April,-13829329
Envy,PG-13,Comedy,2004,4.8,30000,Barry Levinson,Steve Adams,Ben Stiller,United States,40000000,14494036,Dreamworks Pictures,April,-25505964
Alfie,R,Comedy,2004,6.2,51000,Charles Shyer,Bill Naughton,Jude Law,United Kingdom,60000000,35060882,Paramount Pictures,November,-24939118
Superbabies: Baby Geniuses 2,PG,Comedy,2004,1.9,30000,Bob Clark,Robert Grasmere,Jon Voight,Germany,20000000,9448644,ApolloMedia Distribution,August,-10551356
Nobody Knows,PG-13,Drama,2004,8.1,26000,Hirokazu Koreeda,Hirokazu Koreeda,Yûya Yagira,Japan,NA,2288093,Bandai Visual Company,October,NA
Black Friday,Not Rated,Action,2004,8.5,20000,Anurag Kashyap,Anurag Kashyap,Kay Kay Menon,India,NA,1610897,Mid Day Multimedia Limited,February,NA
Johnson Family Vacation,PG-13,Comedy,2004,4.5,7400,Christopher Erskin,Todd R. Jones,Cedric the Entertainer,United States,12000000,31326183,Fox Searchlight Pictures,April,19326183
The Chorus,PG-13,Comedy,2004,7.9,59000,Christophe Barratier,Georges Chaperot,Gérard Jugnot,France,NA,88385944,Vega Film,March,NA
The Woodsman,R,Drama,2004,7.2,33000,Nicole Kassell,Steven Fechter,Kevin Bacon,United States,NA,4678405,Dash Films,January,NA
Three... Extremes,R,Horror,2004,7,19000,Fruit Chan,Park Chan-Wook,Bai Ling,Hong Kong,NA,516930,Applause Pictures,August,NA
Spartan,R,Action,2004,6.5,29000,David Mamet,David Mamet,Val Kilmer,Germany,19250000,8112712,Franchise Pictures,March,-11137288
Home on the Range,PG,Animation,2004,5.4,21000,Will Finn,Will Finn,Judi Dench,United States,110000000,145358062,Walt Disney Pictures,April,35358062
Christmas with the Kranks,PG,Comedy,2004,5.4,45000,Joe Roth,John Grisham,Tim Allen,United States,60000000,96593018,Revolution Studios,November,36593018
Win a Date with Tad Hamilton!,PG-13,Comedy,2004,5.6,27000,Robert Luketic,Victor Levin,Kate Bosworth,United States,22000000,21513434,Dreamworks Pictures,January,-486566
Night Watch,R,Action,2004,6.4,53000,Timur Bekmambetov,Timur Bekmambetov,Konstantin Khabenskiy,Russia,4200000,50336279,Bazelevs Production,March,46136279
The Merchant of Venice,R,Drama,2004,7,36000,Michael Radford,William Shakespeare,Al Pacino,United Kingdom,30000000,21560182,Movision,February,-8439818
Ladder 49,PG-13,Action,2004,6.5,55000,Jay Russell,Lewis Colick,Joaquin Phoenix,United States,55000000,100572044,Touchstone Pictures,October,45572044
The Libertine,R,Biography,2004,6.3,35000,Laurence Dunmore,Stephen Jeffreys,Johnny Depp,United Kingdom,NA,10852064,The Weinstein Company,March,NA
Ma mère,NC-17,Drama,2004,5.1,6600,Christophe Honoré,Georges Bataille,Isabelle Huppert,France,NA,1510052,Gemini Films,May,NA
You Got Served,PG-13,Drama,2004,3.9,26000,Chris Stokes,Chris Stokes,Omarion,United States,8000000,50576805,Screen Gems,January,42576805
A Good Woman,PG,Drama,2004,6.5,12000,Mike Barker,Oscar Wilde,Helen Hunt,United Kingdom,NA,6878433,Beyond Films,May,NA
Beyond the Sea,PG-13,Biography,2004,6.7,15000,Kevin Spacey,Kevin Spacey,Kevin Spacey,United Kingdom,23000000,8447615,Lions Gate Films,December,-14552385
Ladies in Lavender,PG-13,Drama,2004,7,11000,Charles Dance,William J. Locke,Judi Dench,United Kingdom,NA,20421130,UK Film Council,May,NA
Eulogy,R,Comedy,2004,6.5,8700,Michael Clancy,Michael Clancy,Ray Romano,United Kingdom,6500000,89781,Eulogy Productions LLC,September,-6410219
Before the Fall,NA,Drama,2004,7.4,15000,Dennis Gansel,Dennis Gansel,Max Riemelt,Germany,NA,3764219,Olga Film,January,NA
Saving Face,R,Comedy,2004,7.4,11000,Alice Wu,Alice Wu,Joan Chen,United States,NA,1236518,Destination Films,June,NA
The Big Bounce,PG-13,Comedy,2004,4.9,18000,George Armitage,Elmore Leonard,Owen Wilson,United States,50000000,6808550,Shangri-La Entertainment,January,-43191450
Veer-Zaara,Not Rated,Drama,2004,7.8,50000,Yash Chopra,Aditya Chopra,Shah Rukh Khan,India,7000000,6887221,Yash Raj Films,November,-112779
Little Black Book,PG-13,Comedy,2004,5.3,18000,Nick Hurran,Melissa Carter,Brittany Murphy,United States,35000000,22035509,Revolution Studios,August,-12964491
Laws of Attraction,PG-13,Comedy,2004,5.9,23000,Peter Howitt,Aline Brosh McKenna,Pierce Brosnan,Ireland,32000000,30031874,Deep River Productions,April,-1968126
Undertow,R,Drama,2004,6.6,8600,David Gordon Green,Lingard Jervey,Jamie Bell,United States,NA,156767,United Artists,December,NA
Head in the Clouds,R,Drama,2004,6.6,15000,John Duigan,John Duigan,Charlize Theron,United Kingdom,NA,3664858,Remstar Productions,October,NA
Maria Full of Grace,R,Crime,2004,7.4,34000,Joshua Marston,Joshua Marston,Catalina Sandino Moreno,Colombia,3000000,12594630,HBO Films,August,9594630
Vera Drake,R,Crime,2004,7.6,24000,Mike Leigh,Mike Leigh,Imelda Staunton,United Kingdom,11000000,13267869,Les Films Alain Sarde,February,2267869
Millions,PG,Comedy,2004,6.9,25000,Danny Boyle,Frank Cottrell Boyce,Alex Etel,United Kingdom,NA,11782282,Pathé Pictures International,April,NA
It's All Gone Pete Tong,R,Biography,2004,7.3,20000,Michael Dowse,Michael Dowse,Paul Kaye,United Kingdom,2000000,1635056,True West Films,May,-364944
Catch That Kid,PG,Action,2004,5.2,9800,Bart Freundlich,Nikolaj Arcel,Kristen Stewart,United States,12000000,16951702,Fox 2000 Pictures,February,4951702
Lakshya,Not Rated,Action,2004,7.9,22000,Farhan Akhtar,Javed Akhtar,Hrithik Roshan,India,NA,5859242,Excel Entertainment,June,NA
Main Hoon Na,Not Rated,Action,2004,7,33000,Farah Khan,Farah Khan,Shah Rukh Khan,India,NA,10836270,Red Chillies Entertainment,April,NA
Tae Guk Gi: The Brotherhood of War,R,Action,2004,8,38000,Je-kyu Kang,Richard Epcar,Jang Dong-Gun,South Korea,12800000,76287982,Kang Je-Kyu Film Co. Ltd.,September,63487982
Lila dit ça,R,Crime,2004,6.9,4800,Ziad Doueiri,Chimo,Vahina Giocante,France,NA,537871,Huit et Demi Productions,January,NA
Five Times Two,R,Drama,2004,6.6,9100,François Ozon,François Ozon,Valeria Bruni Tedeschi,France,NA,7444906,Fidélité Productions,September,NA
She Hate Me,R,Comedy,2004,5.3,7500,Spike Lee,Michael Genet,Anthony Mackie,United States,8000000,1526951,40 Acres & A Mule Filmworks,July,-6473049
Mind Game,TV-MA,Animation,2004,7.8,8700,Masaaki Yuasa,Robin Nishi,Kôji Imada,Japan,NA,36613,Studio 4°C,June,NA
As It Is in Heaven,Not Rated,Comedy,2004,7.5,17000,Kay Pollak,Anders Nyberg,Michael Nyqvist,Sweden,NA,18328469,Sonet Film AB,September,NA
Palindromes,Not Rated,Comedy,2004,6.7,12000,Todd Solondz,Todd Solondz,Jennifer Jason Leigh,United States,NA,809686,Extra Large Pictures,January,NA
Dhoom,Not Rated,Action,2004,6.7,19000,Sanjay Gadhvi,Vijay Krishna Acharya,Abhishek Bachchan,India,NA,7312209,Yash Raj Films,August,NA
Welcome to Mooseport,PG-13,Comedy,2004,5.2,12000,Donald Petrie,Doug Richardson,Gene Hackman,United States,30000000,14615099,Twentieth Century Fox,February,-15384901
Ghost in the Shell 2: Innocence,PG-13,Animation,2004,7.5,37000,Mamoru Oshii,Shirow Masamune,Akio Ôtsuka,Japan,NA,9789651,Bandai Visual Company,September,NA
Clifford's Really Big Movie,G,Animation,2004,5.4,822,Robert C. Ramirez,Rhett Reese,John Ritter,United States,70000,3255426,Big Red Dog Productions,April,3185426
Summer Storm,R,Comedy,2004,7.2,14000,Marco Kreuzpaintner,Thomas Bahmann,Robert Stadlober,Germany,NA,2096892,Claussen & Wöbke Filmproduktion GmbH,September,NA
Melinda and Melinda,PG-13,Comedy,2004,6.4,31000,Woody Allen,Woody Allen,Will Ferrell,United States,NA,20129327,Fox Searchlight Pictures,April,NA
Harry Potter and the Goblet of Fire,PG-13,Adventure,2005,7.7,566000,Mike Newell,Steve Kloves,Daniel Radcliffe,United Kingdom,150000000,896678241,Warner Bros.,November,746678241
The 40-Year-Old Virgin,R,Comedy,2005,7.1,407000,Judd Apatow,Judd Apatow,Steve Carell,United States,26000000,177378645,Universal Pictures,August,151378645
Memoirs of a Geisha,PG-13,Drama,2005,7.3,141000,Rob Marshall,Robin Swicord,Ziyi Zhang,France,85000000,162242962,Columbia Pictures,December,77242962
Pride & Prejudice,PG,Drama,2005,7.8,269000,Joe Wright,Deborah Moggach,Keira Knightley,France,28000000,121616555,Focus Features,November,93616555
Batman Begins,PG-13,Action,2005,8.2,1300000,Christopher Nolan,Bob Kane,Christian Bale,United Kingdom,150000000,373661946,Warner Bros.,June,223661946
The Descent,R,Adventure,2005,7.2,207000,Neil Marshall,Neil Marshall,Shauna Macdonald,United Kingdom,NA,57130027,Celador Films,August,NA
Brokeback Mountain,R,Drama,2005,7.7,333000,Ang Lee,Annie Proulx,Jake Gyllenhaal,United States,14000000,178062759,Focus Features,January,164062759
Sin City,R,Crime,2005,8,745000,Frank Miller,Frank Miller,Mickey Rourke,United States,40000000,158733820,Dimension Films,April,118733820
Charlie and the Chocolate Factory,PG,Adventure,2005,6.6,441000,Tim Burton,Roald Dahl,Johnny Depp,United Kingdom,150000000,474968763,Warner Bros.,July,324968763
V for Vendetta,R,Action,2005,8.1,1100000,James McTeigue,Lilly Wachowski,Hugo Weaving,United States,54000000,132511035,Warner Bros.,March,78511035
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,Adventure,2005,6.9,375000,Andrew Adamson,Ann Peacock,Tilda Swinton,United Kingdom,180000000,745013115,Walt Disney Pictures,December,565013115
Wedding Crashers,R,Comedy,2005,6.9,339000,David Dobkin,Steve Faber,Owen Wilson,United States,40000000,288467645,New Line Cinema,July,248467645
War of the Worlds,PG-13,Adventure,2005,6.5,424000,Steven Spielberg,Josh Friedman,Tom Cruise,United States,132000000,603873119,Paramount Pictures,June,471873119
